signal,top_n,trend_filter,vol_screen,regime,weight,dates,sel,ctrl,edge,win,worst,p
mom63,20,,,,equal,105,5.8955817560931765,4.224185323906812,1.6713964321863641,67.61904761904762,-8.21923475402222,
mom126_s21,20,,,,equal,105,5.859505369762357,4.224185323906812,1.6353200458555446,62.857142857142854,-15.543485468447077,
mom63,20,above50,,spy_up,equal,93,5.231823432912804,3.625500421375437,1.6063230115373663,67.74193548387096,-9.561431688571744,
mom252_s21,10,above50,,,equal,105,5.8203669331636805,4.236315033867098,1.5840518992965829,63.8095238095238,-18.158052130698334,
mom252_s21,10,above50,,spy_up,equal,93,5.211135058525781,3.634754009647757,1.5763810488780257,63.44086021505376,-18.158052130698334,
mom126_s21,20,above200,,,equal,105,5.8001405478840695,4.224185323906812,1.575955223977257,61.904761904761905,-15.543485468447077,
mom189,20,,,,equal,105,5.790514090004857,4.224185323906812,1.5663287660980452,60.0,-13.90241383729286,
blend,10,above200,,spy_up,invvol,93,5.199112541609058,3.634754009647757,1.5643585319613007,59.13978494623656,-13.852936071093952,
blend,10,,,spy_up,invvol,93,5.199112541609058,3.634754009647757,1.5643585319613007,59.13978494623656,-13.852936071093952,
blend,10,,,,invvol,105,5.7955974637340395,4.236315033867098,1.5592824298669423,59.04761904761905,-13.852936071093952,
blend,10,above200,,,invvol,105,5.7955974637340395,4.236315033867098,1.5592824298669423,59.04761904761905,-13.852936071093952,
blend,20,,,spy_up,equal,93,5.1833163371796385,3.625500421375437,1.5578159158042033,66.66666666666666,-7.727038561984031,
blend,20,above200,,spy_up,equal,93,5.1833163371796385,3.625500421375437,1.5578159158042033,66.66666666666666,-7.727038561984031,
mom252,10,above50,,,equal,105,5.791489207725607,4.236315033867098,1.5551741738585105,57.14285714285714,-16.025725655377375,
mom189,20,above200,,,equal,105,5.7743591595121995,4.224185323906812,1.550173835605386,60.0,-13.90241383729286,
mom126,20,above50,,,equal,104,5.792574807049284,4.269502127686027,1.5230726793632565,60.57692307692307,-11.16374427701008,
mom189,10,above50,,spy_up,invvol,93,5.102099049387562,3.634754009647757,1.4673450397398047,59.13978494623656,-11.814880937348377,
mom252,10,above50,,spy_up,equal,93,5.0984828522101715,3.634754009647757,1.463728842562414,56.98924731182796,-16.025725655377375,
blend,10,above50,,,invvol,105,5.6474645182696435,4.236315033867098,1.4111494844025458,60.0,-13.852936071093952,
blend,10,above50,,spy_up,invvol,93,5.042939407229562,3.634754009647757,1.408185397581805,60.215053763440864,-13.852936071093952,
mom189,10,above50,,,invvol,105,5.637396282125988,4.236315033867098,1.4010812482588908,58.0952380952381,-11.814880937348377,
blend,20,,,,equal,105,5.619256609970414,4.224185323906812,1.395071286063601,64.76190476190476,-9.925799820035849,
blend,20,above200,,,equal,105,5.619256609970414,4.224185323906812,1.395071286063601,64.76190476190476,-9.925799820035849,
mom126,30,,,spy_up,equal,93,4.987409217546944,3.6045080590398437,1.3829011585071012,63.44086021505376,-12.552250993435019,
mom126,20,,,spy_up,invvol,93,4.970684129671172,3.625500421375437,1.3451837082957339,62.365591397849464,-11.863468922487383,
mom63,20,,,spy_up,invvol,93,4.970200546396902,3.625500421375437,1.3447001250214643,67.74193548387096,-7.408515097788975,
mom63,20,above200,,spy_up,invvol,93,4.960788894252686,3.625500421375437,1.3352884728772496,67.74193548387096,-7.408515097788975,
mom126,30,above200,,spy_up,equal,93,4.934605024722349,3.6045080590398437,1.3300969656825044,63.44086021505376,-12.552250993435019,
mom63,20,above50,,,equal,104,5.599530408546979,4.269502127686027,1.3300282808609536,66.34615384615384,-9.561431688571744,
mom63,30,above200,,spy_up,equal,93,4.924681237049329,3.6045080590398437,1.3201731780094859,68.81720430107528,-8.26359316125005,
mom126,20,above200,,spy_up,invvol,93,4.9370181910503135,3.625500421375437,1.3115177696748752,61.29032258064516,-11.863468922487383,
mom126,30,,,,equal,105,5.47999628820693,4.197725115970058,1.2822711722368705,60.952380952380956,-12.552250993435019,
mom126_s21,30,,,spy_up,equal,93,4.834843378614187,3.6045080590398437,1.2303353195743432,64.51612903225806,-12.309825887827925,
mom63,30,,,spy_up,equal,93,4.833604500856044,3.6045080590398437,1.2290964418161998,69.89247311827957,-8.26359316125005,
mom126_s21,30,above200,,spy_up,equal,93,4.833006097645665,3.6045080590398437,1.2284980386058226,63.44086021505376,-12.309825887827925,
mom126_s21,20,above50,,spy_up,equal,93,4.844854198050313,3.625500421375437,1.219353776674875,58.06451612903226,-13.559086654069896,
